27/09/2020 14:56:28 33.35 21.84 0.97
27/09/2020 14:56:30 33.39 21.86 0.97
27/09/2020 14:56:31 33.8 21.91 0.97
27/09/2020 14:56:32 33.47 21.91 0.97
27/09/2020 14:56:33 33.36 21.94 0.97
27/09/2020 14:56:34 33.73 21.91 0.97
27/09/2020 14:56:35 33.6 21.95 0.97
27/09/2020 14:56:36 33.49 22.02 0.97
27/09/2020 14:56:37 33.88 21.93 0.97
27/09/2020 14:56:38 33.55 22.0 0.97
27/09/2020 14:56:39 33.7 21.98 0.97
27/09/2020 14:56:40 33.67 21.96 0.97
27/09/2020 14:56:41 33.52 21.88 0.97
27/09/2020 14:56:42 33.8 21.91 0.97
27/09/2020 14:56:43 33.7 21.95 0.97
27/09/2020 14:56:44 33.62 22.02 0.97
27/09/2020 14:56:45 34.08 22.06 0.97
27/09/2020 14:56:46 33.85 22.06 0.97
27/09/2020 14:56:47 33.75 22.02 0.97
27/09/2020 14:56:48 33.98 21.99 0.97
27/09/2020 14:56:49 34.11 22.0 0.97
27/09/2020 14:56:50 33.98 22.03 0.97
